Plugin,Installations
https://github.com/jenkinsci/workflow-api-plugin/pull/192,303534
https://github.com/jenkinsci/workflow-support-plugin/pull/128,299217
https://github.com/jenkinsci/workflow-cps-plugin/pull/481,290085
https://github.com/jenkinsci/pipeline-stage-view-plugin/pull/182,275702
https://github.com/jenkinsci/maven-plugin/pull/229,168277
https://github.com/jenkinsci/subversion-plugin/pull/268,135620
https://github.com/jenkinsci/external-monitor-job-plugin/pull/26,126417
https://github.com/jenkinsci/config-file-provider-plugin/pull/146,113595
https://github.com/jenkinsci/parameterized-trigger-plugin/pull/230,88385
https://github.com/jenkinsci/role-strategy-plugin/pull/168,87560
https://github.com/jenkinsci/envinject-plugin/pull/156,67280
https://github.com/jenkinsci/copyartifact-plugin/pull/147,53270
https://github.com/jenkinsci/rebuild-plugin/pull/88,49846
https://github.com/jenkinsci/docker-plugin/pull/870,39361
https://github.com/jenkinsci/job-config-history-plugin/pull/132,38790
https://github.com/jenkinsci/job-dsl-plugin/pull/1245,37880
https://github.com/jenkinsci/configuration-as-code-plugin/pull/1802,30800
https://github.com/jenkinsci/ivy-plugin/pull/45,28603
https://github.com/jenkinsci/tikal-multijob-plugin/pull/224,26934
https://github.com/jenkinsci/emailext-template-plugin/pull/53,24153
https://github.com/jenkinsci/jacoco-plugin/pull/172,23847
https://github.com/jenkinsci/nodelabelparameter-plugin/pull/70,20664
https://github.com/jenkinsci/build-with-parameters-plugin/pull/18,14888
https://github.com/jenkinsci/configurationslicing-plugin/pull/63,12515
https://github.com/jenkinsci/global-build-stats-plugin,10924
https://github.com/jenkinsci/nested-view-plugin/pull/33,8602
https://github.com/jenkinsci/nested-view-plugin/pull/32,8602
https://github.com/jenkinsci/extra-columns-plugin/pull/25,7819
https://github.com/jenkinsci/extra-columns-plugin/pull/25,7819
https://github.com/jenkinsci/gerrit-trigger-plugin/pull/459,7802
https://github.com/jenkinsci/scriptler-plugin/pull/47,7426
https://github.com/jenkinsci/plot-plugin/pull/67,6953
https://github.com/jenkinsci/p4-plugin/pull/136,6901
https://github.com/jenkinsci/build-failure-analyzer-plugin/pull/155,6697
https://github.com/jenkinsci/sidebar-link-plugin,6409
https://github.com/jenkinsci/atlassian-bitbucket-server-integration-plugin,5976
https://github.com/jenkinsci/priority-sorter-plugin/pull/109,4787
https://github.com/jenkinsci/periodicbackup-plugin/pull/15,4692
https://github.com/jenkinsci/release-plugin/pull/37,3372
https://github.com/jenkinsci/ez-templates-plugin/pull/9,2322
https://github.com/jenkinsci/JiraTestResultReporter-plugin/pull/28,2045
https://github.com/jenkinsci/copy-project-link-plugin/pull/6,1813
https://github.com/jenkinsci/external-workspace-manager-plugin/pull/74,1395
https://github.com/jenkinsci/build-time-blame-plugin/pull/40,1223
https://github.com/jenkinsci/sauce-ondemand-plugin/pull/90,1192
https://github.com/jenkinsci/flaky-test-handler-plugin/pull/24,886
https://github.com/jenkinsci/pipeline-graph-view-plugin/pull/58,548
https://github.com/jenkinsci/sounds-plugin/pull/7,519
https://github.com/jenkinsci/security-inspector-plugin/pull/12,351
https://github.com/jenkinsci/deployer-framework-plugin/pull/43,309
https://github.com/jenkinsci/clearcase-ucm-plugin/pull/6,231
https://github.com/jenkinsci/testingbot-plugin/pull/8,183
https://github.com/jenkinsci/implied-labels-plugin/pull/8,92
https://github.com/jenkinsci/tics-plugin/pull/5,45
https://github.com/jenkinsci/wavefront-plugin,42
https://github.com/jenkinsci/shortcut-job-plugin/pull/5,1
https://github.com/jenkinsci/build-executors-filter-offline-plugin/pull/1,1